No,Sex,Body site
661,male ,retroauricular crease 
662,male ,retroauricular crease 
663,male ,retroauricular crease 
664,male ,toeweb 
665,male ,toeweb 
666,male ,volar forearm 
667,male ,volar forearm 
668,male ,toeweb 
669,male ,toeweb 
670,male ,volar forearm 
671,male ,volar forearm 
672,male ,toenail 
673,male ,toenail 
674,male ,toenail 
675,male ,toenail 
676,male ,inguinal crease 
677,male ,inguinal crease 
678,male ,glabella 
679,male ,glabella 
680,male ,manubrium 
681,male ,manubrium 
682,male ,occiput 
683,male ,occiput 
684,male ,nare 
685,male ,nare 
686,male ,plantar heel 
687,male ,plantar heel 
688,male ,toenail 
689,male ,toenail 
690,male ,volar forearm 
691,male ,volar forearm 
692,male ,external auditory canal 
693,male ,external auditory canal 
694,male ,antecubital crease 
695,male ,antecubital crease 
696,male ,hypothenar palm 
697,male ,hypothenar palm 
698,male ,inguinal crease 
699,male ,inguinal crease 
700,male ,nare 
701,male ,nare 
702,male ,plantar heel 
703,male ,plantar heel 
704,male ,toenail 
705,male ,toenail 
706,male ,volar forearm 
707,male ,volar forearm 
708,male ,antecubital crease 
709,male ,antecubital crease 
710,male ,external auditory canal 
711,male ,external auditory canal 
712,male ,hypothenar palm 
713,male ,hypothenar palm 
714,male ,inguinal crease 
715,male ,inguinal crease 
716,male ,nare 
717,male ,nare 
718,male ,plantar heel 
719,male ,plantar heel 
720,male ,toenail 
721,male ,toenail 
722,male ,retroauricular crease 
723,male ,retroauricular crease 
724,male ,toeweb 
725,male ,toeweb 
726,male ,volar forearm 
727,male ,volar forearm 
728,male ,external auditory canal 
729,male ,external auditory canal 
730,male ,nare 
731,male ,nare 
732,male ,toenail 
733,male ,toenail 
734,male ,external auditory canal 
735,male ,external auditory canal 
736,male ,plantar heel 
737,male ,plantar heel 
738,male ,nare 
739,male ,nare 
740,male ,toenail 
741,male ,toenail 
742,female ,occiput 
743,female ,occiput 
744,female ,toeweb 
745,female ,toeweb 
746,female ,external auditory canal 
747,female ,external auditory canal 
748,female ,nare 
749,female ,nare 
750,female ,toenail 
751,female ,toenail 
752,female ,toenail 
753,female ,toenail 
754,male ,antecubital crease 
755,male ,antecubital crease 
756,male ,antecubital crease 
757,male ,antecubital crease 
758,male ,back 
759,male ,back 
760,male ,external auditory canal 
761,male ,external auditory canal 
762,male ,external auditory canal 
763,male ,external auditory canal 
764,male ,glabella 
765,male ,glabella 
766,male ,hypothenar palm 
767,male ,hypothenar palm 
768,male ,hypothenar palm 
769,male ,hypothenar palm 
770,male ,inguinal crease 
771,male ,inguinal crease 
772,male ,manubrium 
773,male ,manubrium 
774,male ,inguinal crease 
775,male ,inguinal crease 
776,male ,nare 
777,male ,nare 
778,male ,occiput 
779,male ,occiput 
780,male ,nare 
781,male ,nare 
782,male ,plantar heel 
783,male ,plantar heel 
784,male ,plantar heel 
785,male ,plantar heel 
786,male ,retroauricular crease 
787,male ,retroauricular crease 
788,male ,retroauricular crease 
789,male ,retroauricular crease 
790,male ,toenail 
791,male ,toenail 
